user_id,role,country,timezone,gender,education_level,field_of_study,years_experience,prior_neuromatch,preferred_language,interest_area,availability_slot
U00001,student,Germany,UTC+1,Non-binary,PhD,CS,7,0,Spanish,Time Series,Slot 5
U00002,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4
U00003,student,UK,UTC+0,Female,UG,AI,4,0,French,Neural Coding,Slot 1
U00004,student,Canada,UTC-5,Male,Masters,Neuro,5,0,French,Neural Coding,Slot 4
U00005,student,USA,UTC-5,Female,UG,Neuro,5,0,French,Climate,Slot 2
U00006,instructor,USA,UTC-5,Male,PhD,AI,0,0,French,Neural Coding,Slot 2
U00007,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3
U00008,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2
U00009,instructor,Germany,UTC+1,Male,Masters,Climate,2,0,French,Time Series,Slot 5
U00010,instructor,Germany,UTC+1,Non-binary,Masters,CS,8,0,Spanish,Neural Coding,Slot 3
U00011,student,Canada,UTC-5,Female,UG,AI,4,0,French,CV,Slot 4
U00012,student,Canada,UTC-5,Non-binary,Masters,AI,8,1,French,CV,Slot 2
U00013,student,Kenya,UTC+3,Non-binary,PhD,Climate,8,0,Hindi,NLP,Slot 2
U00014,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2
U00015,student,Brazil,UTC-3,Non-binary,Masters,CS,2,1,Hindi,RL,Slot 5
U00016,student,Japan,UTC+9,Non-binary,Masters,CS,7,0,English,Time Series,Slot 5
U00017,student,Kenya,UTC+3,Non-binary,Masters,CS,5,0,French,RL,Slot 2
U00018,student,Japan,UTC+9,Male,PhD,Neuro,1,0,Spanish,Climate,Slot 1
U00019,ta,Kenya,UTC+3,Non-binary,PhD,AI,3,0,Spanish,NLP,Slot 2
U00020,ta,India,UTC+5:30,Non-binary,Masters,Climate,7,0,English,Neural Coding,Slot 3
U00021,student,Kenya,UTC+3,Male,UG,AI,7,1,English,Neural Coding,Slot 4
U00022,student,USA,UTC-5,Non-binary,UG,AI,4,0,Hindi,Climate,Slot 2
U00023,instructor,Kenya,UTC+3,Non-binary,PhD,Climate,8,0,Spanish,Climate,Slot 2
U00024,student,Kenya,UTC+3,Female,PhD,Neuro,8,1,Hindi,Climate,Slot 4
U00025,student,USA,UTC-5,Male,UG,CS,7,0,French,Neural Coding,Slot 5
U00026,student,Germany,UTC+1,Non-binary,UG,CS,0,0,English,Time Series,Slot 1
U00027,student,Germany,UTC+1,Male,UG,Neuro,4,1,English,Climate,Slot 2
U00028,student,Kenya,UTC+3,Non-binary,Masters,AI,6,1,Spanish,Time Series,Slot 5
U00029,student,Japan,UTC+9,Male,Masters,Climate,0,0,Spanish,Neural Coding,Slot 1
U00030,student,Canada,UTC-5,Female,Masters,Climate,7,0,Hindi,Time Series,Slot 1
U00031,student,USA,UTC-5,Male,Masters,Neuro,5,1,English,CV,Slot 2
U00032,student,Germany,UTC+1,Non-binary,Masters,AI,4,1,Hindi,CV,Slot 3
U00033,student,Japan,UTC+9,Male,UG,Climate,4,0,English,Neural Coding,Slot 5
U00034,student,India,UTC+5:30,Male,UG,AI,6,0,Hindi,RL,Slot 4
U00035,student,Germany,UTC+1,Female,UG,AI,9,0,Hindi,Neural Coding,Slot 4
U00036,student,Kenya,UTC+3,Female,Masters,Climate,6,0,Hindi,CV,Slot 2
U00037,student,Kenya,UTC+3,Male,UG,CS,3,1,French,Neural Coding,Slot 1
U00038,student,Japan,UTC+9,Non-binary,PhD,AI,3,1,English,Climate,Slot 1
U00039,student,Brazil,UTC-3,Male,PhD,CS,2,0,Spanish,RL,Slot 1
U00040,ta,Germany,UTC+1,Non-binary,PhD,CS,8,0,English,RL,Slot 5
U00041,student,UK,UTC+0,Female,UG,Neuro,3,1,Spanish,NLP,Slot 4
U00042,student,Brazil,UTC-3,Non-binary,PhD,Neuro,9,0,Hindi,NLP,Slot 1
U00043,student,India,UTC+5:30,Female,PhD,CS,0,0,English,Climate,Slot 2
U00044,student,Kenya,UTC+3,Male,Masters,CS,8,1,Spanish,NLP,Slot 3
U00045,ta,Brazil,UTC-3,Female,PhD,Neuro,6,0,English,Time Series,Slot 5
U00046,student,Kenya,UTC+3,Non-binary,UG,AI,4,0,French,Neural Coding,Slot 1
U00047,student,Brazil,UTC-3,Female,Masters,AI,7,1,French,CV,Slot 3
U00048,student,Japan,UTC+9,Female,UG,CS,7,0,Hindi,NLP,Slot 1
U00049,student,India,UTC+5:30,Female,UG,Neuro,0,0,Spanish,Time Series,Slot 4
U00050,student,Canada,UTC-5,Non-binary,UG,CS,6,0,English,Time Series,Slot 2
U00051,student,India,UTC+5:30,Female,PhD,AI,0,1,Hindi,CV,Slot 1
U00052,student,Kenya,UTC+3,Female,UG,Neuro,1,0,Spanish,Time Series,Slot 2
U00053,student,USA,UTC-5,Female,PhD,Climate,4,0,Spanish,CV,Slot 2
U00054,student,Brazil,UTC-3,Female,UG,AI,1,0,French,RL,Slot 2
U00055,student,Kenya,UTC+3,Male,PhD,CS,5,0,Hindi,Neural Coding,Slot 4
U00056,student,Germany,UTC+1,Male,Masters,Neuro,7,0,French,CV,Slot 2
U00057,student,India,UTC+5:30,Non-binary,UG,Climate,7,0,French,NLP,Slot 1
U00058,instructor,Kenya,UTC+3,Female,PhD,Climate,5,0,French,Neural Coding,Slot 1
U00059,student,Kenya,UTC+3,Male,PhD,Neuro,0,0,English,Neural Coding,Slot 5
U00060,student,Canada,UTC-5,Female,PhD,Neuro,2,0,Hindi,Climate,Slot 5
U00061,student,USA,UTC-5,Female,PhD,AI,2,0,French,Neural Coding,Slot 4
U00062,student,India,UTC+5:30,Non-binary,PhD,AI,3,0,French,RL,Slot 1
U00063,student,UK,UTC+0,Non-binary,Masters,CS,0,0,French,Climate,Slot 3
U00064,student,Canada,UTC-5,Female,Masters,Neuro,7,0,Spanish,CV,Slot 4
U00065,student,Canada,UTC-5,Non-binary,PhD,AI,8,0,French,RL,Slot 5
U00066,student,India,UTC+5:30,Female,Masters,AI,9,0,Hindi,Climate,Slot 5
U00067,student,UK,UTC+0,Female,Masters,Climate,9,1,Spanish,Climate,Slot 4
U00068,student,Brazil,UTC-3,Non-binary,UG,Neuro,0,0,French,Neural Coding,Slot 2
U00069,student,Kenya,UTC+3,Male,UG,AI,4,1,English,Neural Coding,Slot 2
U00070,student,Japan,UTC+9,Non-binary,UG,Climate,8,0,Hindi,Time Series,Slot 5
U00071,student,Germany,UTC+1,Non-binary,PhD,Climate,2,1,Hindi,RL,Slot 2
U00072,student,Brazil,UTC-3,Non-binary,PhD,CS,0,0,English,RL,Slot 2
U00073,student,Brazil,UTC-3,Non-binary,PhD,Climate,7,0,English,Climate,Slot 2
U00074,student,USA,UTC-5,Female,UG,Climate,2,0,French,RL,Slot 5
U00075,ta,Canada,UTC-5,Non-binary,Masters,AI,8,0,Hindi,RL,Slot 3
U00076,student,Germany,UTC+1,Non-binary,Masters,Climate,1,0,Spanish,NLP,Slot 4
U00077,student,USA,UTC-5,Non-binary,Masters,AI,8,0,French,NLP,Slot 3
U00078,student,USA,UTC-5,Male,UG,AI,4,0,Hindi,Time Series,Slot 2
U00079,student,Germany,UTC+1,Male,Masters,Climate,7,1,French,Climate,Slot 4
U00080,student,Canada,UTC-5,Male,UG,Climate,0,0,Hindi,Climate,Slot 1
U00081,student,Canada,UTC-5,Female,UG,Neuro,5,0,French,RL,Slot 4
U00082,student,Germany,UTC+1,Female,UG,Neuro,5,1,Hindi,RL,Slot 1
U00083,student,Canada,UTC-5,Female,PhD,Climate,7,0,Spanish,RL,Slot 2
