user_id,program_id,day,attended_curriculum,attended_project,curriculum_hours_attended,project_hours_attended,zoom_minutes,assignments_completed,forum_messages,help_requests,role,country,timezone,gender,education_level,field_of_study,years_experience,prior_neuromatch,preferred_language,interest_area,availability_slot,program_name,year,start_date,end_date,num_students,num_tas,region_focus,curriculum_hours_per_day,project_hours_per_day,total_hours_per_day,days_per_week,delivery_mode,num_timeslots
U00002,P002,1,1,1,3.85,1.16,133,1,1,1,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,2,1,1,2.86,1.74,278,1,8,2,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,3,1,1,3.97,2.5,162,1,9,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,4,0,0,2.74,2.25,199,0,1,3,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,5,0,0,2.18,2.66,299,0,4,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,6,1,1,4.14,2.65,68,1,5,3,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,7,1,1,2.12,1.37,126,1,3,2,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,8,1,1,2.34,1.97,287,1,0,1,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,9,1,1,4.38,2.78,112,1,8,2,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,10,1,1,3.59,1.46,296,1,10,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,11,1,1,4.18,1.06,120,1,7,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,12,1,1,4.18,1.24,266,1,9,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,13,1,1,2.03,2.77,148,1,1,3,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,14,1,1,2.33,1.31,213,1,9,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,15,1,1,4.18,2.28,287,1,8,3,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,16,1,1,4.11,1.02,93,1,4,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,17,1,1,2.76,1.91,86,1,0,3,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,18,0,0,2.71,2.27,189,0,3,2,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,19,1,1,3.62,2.85,170,1,7,2,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00002,P002,20,0,0,3.96,2.28,260,0,3,0,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5
U00007,P004,1,0,0,3.98,1.45,298,0,0,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,2,1,1,2.23,2.07,258,1,3,3,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,3,1,1,2.87,1.34,234,1,10,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,4,1,1,4.19,2.08,201,1,7,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,5,1,1,2.24,2.74,159,1,6,1,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,6,0,0,2.03,1.94,170,0,6,1,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,7,1,1,3.14,1.1,89,1,7,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,8,1,1,3.61,2.36,289,1,9,2,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,9,1,1,3.99,1.96,150,1,3,2,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,10,1,1,3.36,1.57,171,1,0,1,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,11,1,1,2.01,1.79,119,1,1,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,12,1,1,3.86,1.13,118,1,6,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,13,1,1,2.66,1.73,265,1,0,1,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,14,0,0,3.63,2.42,268,0,0,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,15,1,1,2.84,1.51,74,1,2,3,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,16,1,1,3.77,2.87,106,1,4,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,17,1,1,3.76,1.13,140,1,5,1,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,18,1,1,2.3,2.31,134,1,2,3,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,19,1,1,2.12,1.64,182,1,10,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00007,P004,20,1,1,2.62,1.08,228,1,1,0,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5
U00008,P007,1,1,1,3.98,1.72,124,1,8,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,2,1,1,4.35,1.08,186,1,5,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,3,1,1,3.21,2.89,173,1,4,2,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,4,1,1,3.77,1.14,259,1,8,2,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,5,1,1,2.86,2.05,282,1,10,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,6,0,0,4.36,2.35,194,0,4,2,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,7,0,0,2.39,1.8,238,0,8,0,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,8,1,1,2.76,2.99,73,1,5,3,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,9,1,1,4.31,1.87,240,1,9,3,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,10,1,1,3.15,1.66,131,1,1,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,11,1,1,3.07,2.96,293,1,2,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,12,1,1,4.03,2.33,138,1,8,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,13,1,1,3.19,1.68,91,1,5,1,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,14,0,0,3.9,2.84,69,0,3,3,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,15,1,1,4.31,1.46,226,1,7,0,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,16,1,1,2.86,1.23,65,1,7,0,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,17,0,0,2.91,1.09,129,0,4,3,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,18,0,0,2.36,1.0,136,0,1,0,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,19,0,0,3.44,2.64,131,0,9,3,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00008,P007,20,0,0,2.2,2.46,186,0,0,3,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5
U00014,P006,1,0,0,3.84,1.26,158,0,7,0,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,2,1,1,2.3,1.49,117,1,3,3,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,3,1,1,2.33,2.99,107,1,10,3,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,4,1,1,4.3,1.38,196,1,0,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,5,0,0,3.41,1.1,68,0,8,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,6,1,1,3.1,2.4,299,1,0,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,7,0,0,3.61,2.19,296,0,4,1,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,8,1,1,2.74,2.87,253,1,0,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,9,1,1,4.17,2.14,245,1,9,3,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,10,1,1,2.14,2.89,281,1,6,0,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,11,1,1,2.05,1.71,266,1,1,3,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,12,1,1,2.2,1.39,244,1,10,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,13,1,1,4.12,2.82,279,1,8,3,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,14,0,0,2.53,2.21,168,0,9,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,15,1,1,2.75,2.77,101,1,6,3,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,16,1,1,2.73,1.31,250,1,3,1,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,17,0,0,3.21,1.27,292,0,0,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
U00014,P006,18,1,1,3.15,2.77,264,1,10,2,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5
