application_id,user_id,program_id,application_date,motivation_score,cv_score,technical_score,diversity_score,preferred_program_track,preferred_timeslot,selected,waitlisted,final_status,role,country,timezone,gender,education_level,field_of_study,years_experience,prior_neuromatch,preferred_language,interest_area,availability_slot,program_name,year,start_date,end_date,num_students,num_tas,region_focus,curriculum_hours_per_day,project_hours_per_day,total_hours_per_day,days_per_week,delivery_mode,num_timeslots,total_days,attended_curriculum_days,attended_project_days,total_curriculum_hours,total_project_hours,total_zoom_minutes,assignments_completed_total,forum_messages_total,help_requests_total,attendance_rate_curriculum,attendance_rate_project,avg_zoom_minutes_per_day,avg_forum_messages_per_day,avg_help_requests_per_day,post_score,pre_score,mid_score,learning_gain,avg_satisfaction,avg_difficulty,avg_content_quality,avg_ta_support,survey_response_count,dropout_day,reason,dropped_out,support_ticket_count,avg_support_response_time,avg_support_satisfaction,completion_status,engagement_score,survey_response_rate
A000002,U00002,P002,2026-03-01,67.66196009174107,60.10413826250655,68.0892472227901,88,Research,Slot 4,1,0,accepted,student,Canada,UTC-5,Male,Masters,Neuro,2,0,English,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,16,16,66.23,39.53,3792,16,100,27,0.8,0.8,189.6,5.0,1.35,66.0,48.0,,18.0,4.0,4.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000006,U00007,P004,2026-03-01,84.44582752582505,44.57717662237336,100.0,54,Research,Slot 3,1,0,accepted,student,USA,UTC-5,Female,Masters,Climate,8,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,17,17,61.21,36.22,3653,17,82,18,0.85,0.85,182.65,4.1,0.9,52.0,47.0,,5.0,5.0,2.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000007,U00008,P007,2026-03-01,50.72487806474596,51.08521276072357,99.82694051616154,86,Research,Slot 2,1,0,accepted,student,UK,UTC+0,Male,PhD,Neuro,9,0,English,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,13,13,67.41,39.24,3364,13,108,31,0.65,0.65,168.2,5.4,1.55,96.0,66.0,,30.0,5.0,3.0,4.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000011,U00014,P006,2026-03-01,55.95602576816039,54.914294527202,100.0,49,Research,Slot 2,1,0,accepted,student,Brazil,UTC-3,Non-binary,Masters,CS,6,0,English,Neural Coding,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,15,15,62.47,41.65,4111,15,106,41,0.75,0.75,205.55,5.3,2.05,61.0,53.0,,8.0,3.0,2.0,4.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000013,U00016,P003,2026-03-01,55.96924010934969,69.91553302204734,78.25065981209448,45,Research,Slot 5,1,0,accepted,student,Japan,UTC+9,Non-binary,Masters,CS,7,0,English,Time Series,Slot 5,Computational Tools for Climate Science,2025,2025-06-22,2025-07-24,262,22,global,4.5,3,8,5,virtual,5,20,16,16,66.95,40.89,3111,16,116,24,0.8,0.8,155.55,5.8,1.2,81.0,63.0,,18.0,3.0,2.0,4.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000018,U00024,P005,2026-03-01,51.40972461131291,58.1354803997055,99.1509473958295,51,Research,Slot 4,1,0,accepted,student,Kenya,UTC+3,Female,PhD,Neuro,8,1,Hindi,Climate,Slot 4,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,18,18,60.98,38.68,3557,18,102,28,0.9,0.9,177.85,5.1,1.4,51.0,44.0,,7.0,3.0,5.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000019,U00025,P002,2026-03-01,56.23699275075004,50.188190497405984,95.88769654216672,52,Research,Slot 5,1,0,accepted,student,USA,UTC-5,Male,UG,CS,7,0,French,Neural Coding,Slot 5,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,15,15,68.39,44.41,3990,15,98,31,0.75,0.75,199.5,4.9,1.55,87.0,61.0,,26.0,4.0,3.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000026,U00032,P004,2026-03-01,66.20747555279424,60.40188564792752,81.34294793888212,41,Research,Slot 3,1,0,accepted,student,Germany,UTC+1,Non-binary,Masters,AI,4,1,Hindi,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,17,17,64.41,42.57,4018,17,79,31,0.85,0.85,200.9,3.95,1.55,89.0,67.0,,22.0,4.0,2.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000027,U00033,P008,2026-03-01,72.7041646058122,45.37742719919149,84.664557261574,59,Research,Slot 5,1,0,accepted,student,Japan,UTC+9,Male,UG,Climate,4,0,English,Neural Coding,Slot 5,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,18,18,67.52,39.72,3177,18,102,37,0.9,0.9,158.85,5.1,1.85,77.0,61.0,,16.0,4.0,2.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000028,U00034,P008,2026-03-01,63.22974503617668,49.38996028144616,89.07618276800207,50,Research,Slot 4,1,0,accepted,student,India,UTC+5:30,Male,UG,AI,6,0,Hindi,RL,Slot 4,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,18,18,58.82,40.06,3262,18,91,27,0.9,0.9,163.1,4.55,1.35,95.0,68.0,,27.0,4.0,2.0,3.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
