application_id,user_id,program_id,application_date,motivation_score,cv_score,technical_score,diversity_score,preferred_program_track,preferred_timeslot,selected,waitlisted,final_status
A000001,U00001,P006,2026-03-01,50.79761470223623,29.745819166795204,90.98739015993141,80,Research,Slot 5,0,1,rejected
A000002,U00002,P002,2026-03-01,67.66196009174107,60.10413826250655,68.0892472227901,88,Research,Slot 4,1,0,accepted
A000003,U00003,P002,2026-03-01,48.21559653139954,52.18025092132565,47.437500652517734,65,Research,Slot 1,0,1,rejected
A000004,U00004,P004,2026-03-01,59.98853210924536,42.779320070043724,65.2118575391886,49,Research,Slot 4,0,1,rejected
A000005,U00005,P002,2026-03-01,59.69614510490014,41.89148865859319,78.0808566075914,68,Research,Slot 2,0,1,rejected
A000006,U00007,P004,2026-03-01,84.44582752582505,44.57717662237336,100.0,54,Research,Slot 3,1,0,accepted
A000007,U00008,P007,2026-03-01,50.72487806474596,51.085212760723564,99.82694051616154,86,Research,Slot 2,1,0,accepted
A000008,U00011,P005,2026-03-01,62.12574030632215,60.26986263319732,65.82161675878646,86,Research,Slot 4,0,1,rejected
A000009,U00012,P008,2026-03-01,61.390603986534174,34.23003517809003,98.61636124497944,67,Research,Slot 2,0,1,rejected
A000010,U00013,P002,2026-03-01,40.086779526197894,52.605174218537535,81.97175556049157,63,Research,Slot 2,0,1,rejected
A000011,U00014,P006,2026-03-01,55.95602576816039,54.914294527201996,100.0,49,Research,Slot 2,1,0,accepted
A000012,U00015,P006,2026-03-01,64.35975389500047,24.677539147803145,65.69760357198646,70,Research,Slot 5,0,1,rejected
A000013,U00016,P003,2026-03-01,55.96924010934969,69.91553302204734,78.25065981209448,45,Research,Slot 5,1,0,accepted
A000014,U00017,P008,2026-03-01,76.18381328847835,47.389538081198474,66.67938695150143,71,Research,Slot 2,0,1,rejected
A000015,U00018,P006,2026-03-01,72.08347817573564,61.4146431797225,58.25840852147925,51,Research,Slot 1,0,1,rejected
A000016,U00021,P005,2026-03-01,58.88981126392845,51.21254683103932,79.40670061862755,69,Research,Slot 4,0,1,rejected
A000017,U00022,P006,2026-03-01,64.2713372868766,43.110415885415044,74.34142220262216,51,Research,Slot 2,0,1,rejected
A000018,U00024,P005,2026-03-01,51.40972461131291,58.1354803997055,99.1509473958295,51,Research,Slot 4,1,0,accepted
A000019,U00025,P002,2026-03-01,56.23699275075004,50.188190497405984,95.88769654216672,52,Research,Slot 5,1,0,accepted
A000020,U00026,P004,2026-03-01,54.84991723644308,46.77641449154758,38.28345652682438,76,Research,Slot 1,0,1,rejected
A000021,U00027,P004,2026-03-01,73.51502903456121,59.117653228420025,43.509004567329406,71,Research,Slot 2,0,1,rejected
A000022,U00028,P005,2026-03-01,66.45169125372819,57.449914196140824,62.666161379450855,86,Research,Slot 5,0,1,rejected
A000023,U00029,P005,2026-03-01,61.31020762078698,46.66221129161113,53.191602900919904,51,Research,Slot 1,0,1,rejected
A000024,U00030,P008,2026-03-01,58.41064264671219,45.81528969482804,74.87726643162985,81,Research,Slot 1,0,1,rejected
A000025,U00031,P003,2026-03-01,65.07420927833289,40.84075272737573,76.10389639107697,58,Research,Slot 2,0,1,rejected
A000026,U00032,P004,2026-03-01,66.20747555279424,60.40188564792752,81.34294793888212,41,Research,Slot 3,1,0,accepted
A000027,U00033,P008,2026-03-01,72.7041646058122,45.37742719919149,84.664557261574,59,Research,Slot 5,1,0,accepted
A000028,U00034,P008,2026-03-01,63.22974503617668,49.389960281446164,89.07618276800207,50,Research,Slot 4,1,0,accepted
A000029,U00035,P001,2026-03-01,42.52363490171739,54.347700645568914,100.0,51,Research,Slot 4,1,0,accepted
A000030,U00036,P007,2026-03-01,54.4938147339787,70.77677132919443,84.75430682526624,65,Research,Slot 2,1,0,accepted
A000031,U00037,P001,2026-03-01,66.33094934705377,55.08565877358319,77.81992253094305,83,Research,Slot 1,1,0,accepted
A000032,U00038,P003,2026-03-01,70.74185392178971,40.82650733807877,81.30581970330063,78,Research,Slot 1,0,1,rejected
A000033,U00039,P004,2026-03-01,47.785049369334345,43.835476546989526,67.4331212954292,52,Research,Slot 1,0,1,rejected
A000034,U00041,P001,2026-03-01,60.46771430840847,48.92847118964463,54.96338788328198,44,Research,Slot 4,0,1,rejected
A000035,U00042,P002,2026-03-01,74.66540859278604,38.88419750486449,100.0,49,Research,Slot 1,1,0,accepted
A000036,U00043,P003,2026-03-01,41.59922255494247,49.6771938895053,49.64174421293537,44,Research,Slot 2,0,1,rejected
A000037,U00044,P001,2026-03-01,49.65863000943235,41.10648006920792,92.05629814693488,67,Research,Slot 3,0,1,rejected
A000038,U00046,P002,2026-03-01,49.440741864891564,49.84707339038542,83.78284093622673,55,Research,Slot 1,0,1,rejected
A000039,U00047,P006,2026-03-01,68.3876214390923,41.72651000359647,69.65519868594703,69,Research,Slot 3,0,1,rejected
A000040,U00048,P006,2026-03-01,76.01947506512397,66.80495630414647,73.29028121278388,81,Research,Slot 1,1,0,accepted
A000041,U00049,P008,2026-03-01,50.81873016583425,62.395840064415616,43.04305122802936,65,Research,Slot 4,0,1,rejected
A000042,U00050,P008,2026-03-01,51.352778654809114,37.89929279898797,76.0377032189824,46,Research,Slot 2,0,1,rejected
A000043,U00051,P008,2026-03-01,60.74755323365632,46.02487361090138,50.61227608470173,86,Research,Slot 1,0,1,rejected
A000044,U00052,P004,2026-03-01,55.26135129840471,46.34200327206498,51.842176235598295,73,Research,Slot 2,0,1,rejected
A000045,U00053,P006,2026-03-01,67.8581200929681,41.93253619790511,77.9179641280347,48,Research,Slot 2,0,1,rejected
A000046,U00054,P003,2026-03-01,55.55105653451153,40.9663904245231,38.07318384489063,86,Research,Slot 2,0,1,rejected
A000047,U00055,P003,2026-03-01,63.514799003522015,30.217747506251897,61.27140548518936,88,Research,Slot 4,0,1,rejected
A000048,U00056,P008,2026-03-01,68.21454429253406,50.45616429321544,85.4693490206037,40,Research,Slot 2,1,0,accepted
A000049,U00057,P002,2026-03-01,63.700611152689554,48.762673199002435,81.60877720729961,78,Research,Slot 1,0,1,rejected
A000050,U00059,P006,2026-03-01,56.4051120979638,75.03796227268774,54.57805609925785,46,Research,Slot 5,0,1,rejected
A000051,U00060,P008,2026-03-01,64.23212374457017,53.314852620217586,54.35018088967924,64,Research,Slot 5,0,1,rejected
A000052,U00061,P008,2026-03-01,51.982949573510275,39.40049921015283,61.417658589610795,64,Research,Slot 4,0,1,rejected
A000053,U00062,P001,2026-03-01,54.31794630603591,46.074574417690265,67.49634475788989,41,Research,Slot 1,0,1,rejected
A000054,U00063,P002,2026-03-01,62.30438887710503,43.43958260191023,56.921195050884904,47,Research,Slot 3,0,1,rejected
A000055,U00064,P002,2026-03-01,69.78369937769772,37.76803098278857,90.3914411795015,40,Research,Slot 4,1,0,accepted
A000056,U00065,P004,2026-03-01,65.3335924470545,58.39468504518405,100.0,88,Research,Slot 5,1,0,accepted
A000057,U00066,P002,2026-03-01,66.08228895307312,47.79057738495239,98.6141552377198,81,Research,Slot 5,1,0,accepted
A000058,U00067,P001,2026-03-01,67.59090395388397,39.619114961837134,85.7185736172095,42,Research,Slot 4,0,1,rejected
A000059,U00068,P003,2026-03-01,43.258143011860966,46.30302944028914,51.88846357130914,48,Research,Slot 2,0,1,rejected
A000060,U00069,P006,2026-03-01,53.92707815052159,25.87886094949583,66.34901777259337,55,Research,Slot 2,0,1,rejected
A000061,U00070,P002,2026-03-01,65.82737583173865,54.968735905075974,83.77965194445619,89,Research,Slot 5,1,0,accepted
A000062,U00071,P006,2026-03-01,39.81512135611362,51.450637459593814,70.69771454983851,45,Research,Slot 2,0,1,rejected
A000063,U00072,P002,2026-03-01,86.48143985753487,56.955233489652585,42.03060739542976,57,Research,Slot 2,0,1,rejected
A000064,U00073,P001,2026-03-01,63.73324144497762,56.303924720320566,100.0,49,Research,Slot 2,1,0,accepted
A000065,U00074,P003,2026-03-01,57.7682882852658,40.244294340770516,61.2754239437051,80,Research,Slot 5,0,1,rejected
