ticket_id,user_id,program_id,channel,issue_type,response_time_hours,resolved,satisfaction
T00000,U01218,P005,email,admin,9.22,1,5
T00001,U00720,P008,discord,technical,5.68,1,3
T00002,U00612,P004,discord,admin,20.15,1,4
T00003,U00206,P007,email,technical,14.43,1,4
T00004,U01060,P006,email,admin,17.78,1,3
T00005,U00620,P004,discord,academic,2.99,1,4
T00006,U00999,P006,email,admin,18.26,1,3
T00007,U00906,P003,email,admin,13.47,1,3
T00008,U00239,P002,discord,technical,13.17,1,4
T00009,U00326,P007,email,admin,5.96,1,4
T00010,U00690,P004,email,academic,16.28,1,4
T00011,U00518,P002,email,technical,19.52,1,4
T00012,U01220,P003,discord,admin,14.31,1,3
T00013,U00103,P001,email,technical,21.41,1,4
T00014,U00165,P003,email,admin,3.43,1,4
T00015,U00348,P007,discord,technical,17.39,1,4
T00016,U01130,P008,email,technical,17.41,1,4
T00017,U01163,P006,discord,academic,14.95,1,4
T00018,U01177,P005,discord,academic,3.45,1,4
T00019,U01239,P002,discord,admin,14.4,1,3
T00020,U01497,P003,email,academic,14.37,1,4
T00021,U01273,P002,email,admin,11.22,1,5
T00022,U00194,P006,email,academic,14.29,1,4
T00023,U00040,P004,email,academic,22.56,1,4
T00024,U00884,P004,email,academic,11.85,1,4
T00025,U00070,P007,discord,technical,10.46,1,4
T00026,U00651,P001,discord,technical,9.47,1,5
T00027,U00224,P006,discord,admin,12.73,1,5
T00028,U01101,P006,discord,academic,8.19,1,3
T00029,U00663,P004,email,admin,5.21,1,4
T00030,U00219,P002,discord,admin,1.37,1,4
T00031,U00857,P007,email,admin,19.44,1,3
T00032,U00977,P005,discord,academic,23.93,1,4
T00033,U00409,P008,discord,admin,6.58,1,5
T00034,U00003,P008,discord,technical,5.62,1,3
T00035,U00441,P002,email,admin,7.01,1,4
T00036,U01439,P005,email,academic,15.5,1,5
T00037,U00250,P007,discord,academic,23.7,1,5
T00038,U00490,P008,email,academic,18.6,1,3
T00039,U00370,P006,discord,academic,22.22,1,4
T00040,U01278,P001,email,technical,16.06,1,5
T00041,U01294,P002,discord,admin,2.53,1,3
T00042,U00726,P002,discord,academic,10.04,1,3
T00043,U00329,P005,email,academic,1.44,1,5
T00044,U00783,P001,email,admin,6.95,1,3
T00045,U00668,P005,email,technical,6.16,1,3
T00046,U00444,P006,email,technical,18.56,1,3
T00047,U00447,P001,discord,academic,5.04,1,5
T00048,U01270,P004,email,technical,13.9,1,3
T00049,U00832,P007,discord,technical,23.2,1,4
T00050,U00919,P008,discord,admin,8.13,1,5
T00051,U00180,P003,email,technical,3.26,1,5
T00052,U00327,P008,email,admin,5.34,1,5
T00053,U00269,P003,discord,academic,2.97,1,4
T00054,U01444,P001,email,academic,6.66,1,4
T00055,U00917,P002,discord,technical,13.88,1,3
T00056,U00861,P001,discord,admin,23.53,1,3
T00057,U00499,P004,discord,admin,6.9,1,5
T00058,U00832,P005,discord,academic,22.29,1,5
T00059,U01256,P007,discord,admin,9.19,1,4
T00060,U00883,P003,discord,academic,3.1,1,4
T00061,U01427,P004,discord,academic,11.52,1,5
T00062,U00972,P007,email,academic,21.89,1,5
T00063,U01286,P004,email,admin,18.65,1,4
T00064,U00947,P004,email,technical,7.05,1,4
T00065,U00028,P005,email,academic,20.95,1,5
T00066,U00404,P007,email,technical,11.39,1,5
T00067,U00406,P006,discord,technical,16.33,1,5
T00068,U01087,P008,discord,academic,12.71,1,3
T00069,U01041,P003,discord,technical,20.93,1,5
T00070,U01152,P002,email,academic,8.18,1,5
T00071,U00912,P005,discord,academic,7.33,1,5
T00072,U01364,P001,email,academic,17.23,1,5
T00073,U00080,P005,email,technical,7.7,1,5
T00074,U01237,P002,discord,admin,23.66,1,5
T00075,U01305,P003,email,academic,13.39,1,3
T00076,U00719,P005,email,technical,9.96,1,3
T00077,U00101,P008,discord,technical,20.0,1,5
T00078,U00434,P004,discord,admin,22.22,1,3
T00079,U01484,P006,email,technical,21.14,1,5
T00080,U00791,P003,discord,technical,9.05,1,5
T00081,U01129,P005,discord,technical,4.26,1,3
T00082,U00963,P007,email,academic,17.27,1,5
T00083,U00769,P005,email,academic,21.93,1,3
T00084,U00991,P001,email,admin,14.29,1,4
T00085,U01187,P002,email,technical,19.73,1,4
T00086,U00361,P005,email,technical,2.57,1,4
T00087,U01097,P003,discord,admin,23.7,1,4
T00088,U01369,P006,email,technical,17.66,1,5
T00089,U00864,P002,discord,technical,7.84,1,3
T00090,U00247,P007,email,academic,4.82,1,5
T00091,U00873,P002,discord,academic,7.39,1,4
T00092,U01355,P008,discord,admin,20.69,1,3
T00093,U01064,P005,email,technical,9.55,1,5
T00094,U00269,P004,discord,technical,5.41,1,4
T00095,U01027,P005,email,admin,10.25,1,5
T00096,U00457,P001,email,academic,9.59,1,3
T00097,U00255,P006,email,academic,14.5,1,3
T00098,U00919,P007,discord,admin,8.47,1,3
T00099,U01072,P003,email,academic,21.36,1,5
T00100,U01481,P003,discord,technical,14.76,1,4
T00101,U01272,P006,email,technical,9.31,1,4
T00102,U01159,P008,email,admin,17.32,1,5
T00103,U00676,P008,email,technical,14.29,1,3
T00104,U00997,P001,discord,academic,20.41,1,3
T00105,U01227,P007,discord,technical,11.83,1,5
T00106,U01497,P002,email,academic,1.33,1,3
T00107,U00886,P008,email,admin,17.51,1,3
T00108,U00328,P003,email,technical,10.72,1,5
T00109,U01291,P006,discord,academic,9.07,1,4
T00110,U01135,P006,email,academic,12.49,1,4
T00111,U01378,P001,discord,admin,3.95,1,4
T00112,U00721,P001,email,admin,4.99,1,3
T00113,U01148,P001,email,technical,2.76,1,3
T00114,U00168,P006,email,academic,5.54,1,5
T00115,U00724,P005,discord,academic,1.34,1,5
T00116,U00867,P001,email,admin,13.21,1,4
T00117,U01431,P008,email,admin,1.83,1,4
T00118,U00826,P002,discord,admin,2.68,1,4
T00119,U00804,P002,email,academic,19.95,1,5
T00120,U00425,P004,discord,academic,8.14,1,4
T00121,U00346,P004,email,admin,18.42,1,5
T00122,U01485,P006,email,academic,9.72,1,5
